movie|celeb|review
Talladega Nights The Ballad Of Ricky Bobby|Adam McKay|When America's number one NASCAR speed-demon is issued a direct challenge from a gay, French Formula One racer with a hunger for the top spot and a mean talent for tight-cornering, the race is on to become the number one man in all of NASCAR in a full throttle comedy starring Will Ferrell and directed by Anchorman cohort Adam McKay. Ricky Bobby (Ferrell) is a national hero with a "smokin' hot" trophy wife, pair of borderline-abusively precocious sons, and an endless line of endorsement deals filling his mansion with toys and driveway with sports cars and Hummers. His racing partner and lifelong friend Cal Naughton, Jr. (John C. Reilly), never fails to provide him with a hand on the racetrack, frequently performing their trademark "slingshot" maneuver to shoot Ricky into first place, leaving Cal in second. While the public loves these buddies (popularly known by the meaningless childhood nicknames they find so exceedingly cool: "Shake and Bake"), a wedge comes between the two, as Ricky Bobby's longstanding winning-streak is broken by flamboyand French Formula One driver Jean Girard (Sacha Baron Cohen), robbing Ricky of everything in an instant as the trauma leaves him unable to drive. Ricky's wife takes his fortunes while Cal takes his wife, and now he's back with his mother (Jane Lynch) and long-estranged father (Gary Cole). Things look bad for Ricky, but his father was once a race car driver himself, and now with the help of a training montage, a live cougar, and the courage to drive without his gleaming white Wonder Bread endorsement, Ricky might be ready to face the track again. ~ Jason Buchanan, Rovi
Cemetery Club|Bill Duke|A trio of Jewish widows, calling themselves "The Cemetery Club" gather every week to visit the graves of their husbands and then go to the local deli to hash out the details of their lives. It's a good routine until one of the widows finds a beau.
Asalto A Beverly Hills|Sidney J. Furie|Football hero Boomer Hayes (Ken Wahl) finds he is in the middle of a looting scheme in this non-stop actioner. Billionaire and owner of LA's pro football team, Bat Masterson (Robert Davi), has arranged a fake toxic chemical spill to provide an opportune situation for his group of ex-cops to plunder an evacuated community in Beverly Hills. Surprised by the state of things when he comes out of the bathroom, Boomer soon grasps the opponent's play and takes it upon his able-bodied self to tackle the situation. Luckily, he not only has the support of his girlfriend, Laura (Harley Jane Kozak), but ex-cop and bad-turned-to-good guy Ed (Matt Frewer) also decides to play on the home-team. With a plethora of explosions and stunts, it shows how the heroes semi-effectively defend their lush neighborhood.
Mulholland Dr|David Lynch|Along Mulholland Drive nothing is what it seems. In the unreal universe of Los Angeles, the city bares its schizophrenic nature, an uneasy blend of innocence and corruption, love and loneliness, beauty and depravity. A woman is left with amnesia following a car accident. An aspiring young actress finds her staying in her aunt's home. The puzzle begins to unfold, propelling us through a mysterious labyrith of sensual experiences until we arrive at the intersection of dreams and nightmares.
Jennifer On My Mind|Noel Black|One of a number of films that dealt with addiction following the explosion of recreational drug use in the 1960s, Jennifer on My Mind opens as footloose twentysomething Marcus (Michael Brandon) is wandering through Europe. In Venice, he meets a beautiful young woman named Jenny (Tippy Walker); they fall in love, start travelling together, and smoke an awful lot of marijuana. When Jenny decides to return to the United States and heads back to New York, Marcus tags along, but before long (as usually happens in films of this sort), Jenny moves from pot to harder drugs, and Marcus has to deal with the fact the woman he loves has become a heroin addict. Written by Erich Segal, who had earlier gained fame for Love Story, Jennifer on My Mind also features a prescient supporting performance by Robert DeNiro, who plays a taxi driver.
Desperate Lives 1982|Robert Michael Lewis|In this made-for-TV film, a high-school counselor (Joyce Brothers) faces ineffectual help from administration in combating drugs, so she recruits several students to help in the battle.
10010619 Babysitter|Don Henderson|In this melodrama, Jim Carlton is settling in for a weekend at home when his wife takes their baby off for a weekend trip. However, when the baby-sitter mistakenly shows up, she whisks Jim off to a wild weekend in Hollywood, where he discovers some sobering facts about his wife.
Mechanic|Michael Winner|Arthur Bishop (played by Charles Bronson) is a bounty-hunter known as "the Mechanic." He teaches his trade to an apprentice (Jan-Michel Vincent) in a series of jobs that find them chased by rival killers.
Slapstick Of Another Kind|Steven Paul|This dismal sci-fi comedy is based on a novel by Kurt Vonnegut and features Jerry Lewis and Madeline Kahn in dual roles as wealthy, respected parents who give birth to two gigantic, and ugly twins. The appalled parents try to keep them hidden away for they do not know that their "children" are really alien ambassadors who have come to help make the Earth a better place.
Never Too Young To Die|Gil Bettman|In this deliberately campy, tongue-in-cheek tale of espionage and action, a young spy launches a private investigation into the death of his father, a master spy. He enlists the aid of one of his father's gorgeous cohorts and together they end up facing down a deadly and totally deranged hermaphrodite with delusions of grandeur.
Ophelia Learns To Swim|Jurgen Vsych|A wishy-washy young woman (Julie Lee) becomes a superhero and takes on a bunch of supervillains. Lauren Birkell, Hilary Shepard-Turner. Written and directed by Jurgen Vsych.
Our Mothers Murder|Bill L. Norton|In this made-for-TV movie, Anne Scripps is the divorced mother of two teenage girls and the heir to the Scripps family fortune. After their mother remarries and has another child, her husband becomes abusive towards his wife. When Anne is found murdered, the search goes out for her husband.
Hostage Hotel|Hal Needham|Produced for the TNT cable network, this is the last in a short series of TV movies starring Burt Reynolds as retired police detective Logan McQueen. Something of a bargain-basement Die Hard, the plot is set in motion when a disturbed, vengeance-seeking Vietnam veteran named Arlin Flynn (Keith Carradine) takes over the landmark California hotel where congressman Robert Sinclair (David Rasche) is delivering a speech, then kidnaps Sinclair's family. The situation becomes personal for maverick former cop McQueen when his ex-partner Charlie Duffy (Charles Durning) is also kidnapped while trying to negotiate with Flynn. Despite the many deadly booby traps set in and around the besieged hotel by the crazed but clever villain, McQueen endeavors to defuse the crisis and rescue the hostages himself. Directed by longtime Burt Reynolds crony Hal Needham, Hostage Hotel first aired November 14, 1999.
The Man In 3B|Trey Haley|Daryl Graham has just moved into an apartment in Jamaica, Queens and his neighbors cannot stop talking about him. Daryl is the man every woman wants and every man wants to be. Unhappy wife Connie turns to Daryl to lose weight and fix her marriage. But when Connie starts to feel beautiful again, she questions whether her marriage is worth saving. Spoiled teen Benny looks up to Daryl. When an unexpected event occurs, Benny questions everything he has understood to be true. Daryl's first love, Krystal, wants her current relationship to work. With Daryl back in her life, things with her new boyfriend start to spin out of control. And Avery, Connie's husband, is only really concerned with financial gains, that is, until he notices how preoccupied his wife is with the new neighbor. All in all, everything seems to be going well, but when a murder happens, everyone becomes a prime suspect.
Only For You|Donna Persico|A young divorcée pursuing an acting career finds romance with a charismatic writer in her theater class.
Hard Time|Burt Reynolds|Former Evening Shade costars Burt Reynolds and Charles Durning are reunited in this made-for-TV action thriller, the first entry in a three-picture deal between star-director Reynolds and the TNT cable network. Framed for murder after a botch stakeout, maverick cop Logan McQueen (Reynolds) escapes from maximum security and heads to Miami in search of the man who set him up. He is hotly pursued by the minions of a politically ambitious DA (Billy Dee Williams), who sees McQueen's capture as a stepping-stone to the governor's mansion. The film is so spectacularly violent that the cameo appearance by pro wrestler Rowdy Roddy Piper seems a model of decorum in comparison. And Durning? He plays McQueen's ageing partner, as fast with a quip as with a gun. Originally telecast on December 13, 1998, Hard Time was followed by a brace of sequels.
Alien Abduction Incident In Lake County|Dean Alioto|After a mysterious blackout, a son goes out to investigate and captures footage of actual aliens. When the aliens follow he and his brothers back to their home all hell breaks lose.
The Spectre Of Hope 2012|Paul Carlin|Over the past 30 years Brazilian photographer Sebastião Salgado's work has won every major award for excellence. More importantly, his photographs have had an actual impact on the world and how it is seen, bringing conditions of famine and poverty to the attention of a jaded first world in a profound and arresting way. In THE SPECTRE OF HOPE Sebastião Salgado joins Berger to pore over Salgado's collection "Migrations." Six years and 43 countries in the making (ranging across Africa, Asia, Eastern Europe and Latin America), "Migrations" contains photographs of people pushed from their homes and traditions to cities and their margins - slums and streets and refugee camps.
Sugar Daddies 2014|Doug Campbell|A college student with mounting debt is introduced to the world of "sugar daddies," a group of older men who trade favors for money.
Sex Tape 2014|Jake Kasdan|Jay (Jason Segel) and Annie (Cameron Diaz) are a married couple still very much in love, but ten years and two kids have cooled the passion. To get it back, they decide - why not? - to make a video of themselves trying out every position in THE JOY OF SEX in one marathon three-hour session. It seems like a great idea, until they discover that their most private video has gone public. In a panic, they begin a wild night of adventure - tracking down leads, roping in friends, duping Annie's boss - all to reclaim their video, their reputation, their sanity, and, most importantly, their marriage. (c) Sony
Legend Of Zorro|Martin Campbell|The year is 1850. After fighting to help California become the 31st state of the Union, Zorro promises his wife Elena that he will give up his secret identity and live a normal life as Alejandro de la Vega. But now, the same forces that conspired to keep California from becoming part of the United States are plotting to unleash a threat that has been 500 years in the making -- a threat that could change the course of history forever. Only Zorro can stop it by taking on the most dangerous mission of his life. But, if he does what he must, will it mean losing Elena forever?
